@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute landmarks-1 numeric
@attribute landmarks-2 numeric
@attribute landmarks-3 numeric
@attribute landmarks-4 numeric
@attribute landmarks-5 numeric
@attribute landmarks-6 numeric
@attribute landmarks-7 numeric
@attribute landmarks-8 numeric
@attribute landmarks-9 numeric
@attribute landmarks-10 numeric
@attribute landmarks-11 numeric
@attribute landmarks-12 numeric
@attribute landmarks-13 numeric
@attribute landmarks-14 numeric
@attribute landmarks-15 numeric
@attribute landmarks-16 numeric
@attribute landmarks-17 numeric
@attribute landmarks-18 numeric
@attribute landmarks-19 numeric
@attribute landmarks-20 numeric
@attribute landmarks-21 numeric
@attribute landmarks-22 numeric
@attribute landmarks-23 numeric
@attribute landmarks-24 numeric
@attribute landmarks-25 numeric
@attribute landmarks-26 numeric
@attribute landmarks-27 numeric
@attribute landmarks-28 numeric
@attribute landmarks-29 numeric
@attribute landmarks-30 numeric
@attribute landmarks-31 numeric
@attribute landmarks-32 numeric
@attribute landmarks-33 numeric
@attribute landmarks-34 numeric
@attribute landmarks-35 numeric
@attribute landmarks-36 numeric
@attribute landmarks-37 numeric
@attribute landmarks-38 numeric
@attribute landmarks-39 numeric
@attribute landmarks-40 numeric
@attribute landmarks-41 numeric
@attribute landmarks-42 numeric
@attribute landmarks-43 numeric
@attribute landmarks-44 numeric
@attribute landmarks-45 numeric
@attribute landmarks-46 numeric
@attribute landmarks-47 numeric
@attribute landmarks-48 numeric
@attribute landmarks-49 numeric
@attribute landmarks-50 numeric
@attribute landmarks-51 numeric
@attribute landmarks-52 numeric
@attribute landmarks-53 numeric
@attribute landmarks-54 numeric
@attribute landmarks-55 numeric
@attribute landmarks-56 numeric
@attribute landmarks-57 numeric
@attribute landmarks-58 numeric
@attribute landmarks-59 numeric
@attribute landmarks-60 numeric
@attribute landmarks-61 numeric
@attribute landmarks-62 numeric
@attribute landmarks-63 numeric
@attribute outputs-1 numeric

@data
21,'2021/06/23 12:55:30:961',1,617.570007,374.039337,-0.000768,535.974731,367.306763,-1.084048,484.332031,320.534393,2.121111,454.317963,271.261383,3.166813,430.824524,228.695755,3.448995,538.284729,236.846603,24.404991,515.829346,184.584793,30.680611,499.328583,149.127319,33.056404,482.818695,122.527771,33.659901,583.725952,221.127625,22.719595,565.449463,162.955109,31.051641,544.283508,123.086639,30.908665,522.614014,97.425079,29.976889,626.316223,216.804367,18.588947,614.287842,158.545258,24.274658,592.86853,121.364815,22.825342,569.22699,98.306351,20.961636,669.931091,221.684952,13.366762,663.462891,170.921371,15.955379,650.193726,138.479095,15.322185,632.538818,113.353065,14.693342,0.67
22,'2021/06/23 12:55:30:966',1,616.563232,388.416443,-0.000678,537.323669,374.194305,-3.695565,483.461273,320.918121,-2.813844,453.652374,264.954712,-3.689023,431.982117,219.924393,-5.351772,537.481934,234.290878,16.147291,517.802124,174.2966,20.060606,502.929016,134.264954,20.780596,487.928558,102.919846,20.193468,584.674316,219.203873,14.546191,567.125916,153.153183,20.01317,547.663391,109.049255,18.377869,527.55365,78.764412,16.277105,628.953613,216.088684,10.642538,617.680115,150.963852,13.79213,598.140442,109.796883,11.733854,575.872803,81.577766,9.440386,673.952148,222.920944,5.501484,670.018372,168.517548,6.172572,659.531372,133.606125,5.019059,644.067322,103.170052,4.007494,0.67
23,'2021/06/23 12:55:31:445',1,619.971924,400.924133,-0.000778,540.868774,374.115662,-5.127099,485.555267,318.683014,-5.161124,453.692291,259.304443,-6.357995,428.5802,210.885788,-7.814023,531.791687,237.531143,12.050581,513.749084,176.038391,15.098718,501.285706,134.630829,15.108927,489.079315,101.207054,13.911831,578.438049,221.995743,11.258604,561.008667,155.009109,16.351589,543.573914,108.73465,15.088405,527.03772,74.530479,13.27139,622.754211,217.538269,8.286891,611.057556,151.981369,10.992111,593.977051,107.85186,9.575898,576.121887,74.935806,7.939625,667.501404,222.596146,3.951235,663.455322,165.526611,4.324139,654.517273,127.776054,3.556516,643.378113,94.424774,2.997533,0.74
24,'2021/06/23 12:55:31:455',1,621.016907,397.399475,-0.000918,539.737366,377.842987,-5.111716,483.601837,322.258118,-5.826599,450.425476,264.316498,-7.730928,421.925049,215.408035,-9.927542,538.42334,231.312973,9.12978,521.548401,165.496735,10.962271,509.228149,120.286949,11.035277,496.628845,83.258438,10.199537,586.256226,216.291382,7.454139,571.742249,142.854492,10.096707,555.997498,91.877457,8.130815,540.101929,54.382008,6.409101,630.719727,213.870148,3.749304,623.528503,142.375809,4.686018,609.229004,92.779007,2.988451,592.703308,56.067245,1.490107,675.60083,222.574081,-1.22015,678.887329,165.595917,-1.875492,676.559448,126.47319,-2.937691,670.813232,89.297577,-3.561302,0.74
25,'2021/06/23 12:55:32:226',1,621.864319,403.59845,-0.000965,542.77124,380.672791,-3.863041,483.509949,328.113159,-4.589197,444.357147,272.519043,-6.475848,412.768768,229.430328,-8.61818,531.546631,231.341537,7.22863,514.124084,162.619797,8.58421,503.055603,118.892349,7.948851,492.73465,82.929329,6.363506,577.399902,214.270493,5.320308,560.189026,137.02861,7.681095,545.63501,86.298676,5.902786,532.68335,48.424549,4.14754,621.78717,212.199097,1.751358,612.147583,138.083069,2.452173,600.736328,88.813171,1.125011,588.731323,51.648682,-0.089457,667.145935,223.345627,-2.908639,671.744507,163.31221,-3.656301,673.041138,123.435844,-4.534871,671.789429,86.161743,-5.00135,0.93
26,'2021/06/23 12:55:32:229',1,617.492432,403.056732,-0.000719,540.275452,383.071869,-3.423592,479.908264,333.265015,-4.368811,437.154602,283.189484,-6.563491,402.789673,247.195923,-9.198064,530.14032,232.353455,5.252726,509.897766,163.403214,5.923135,496.990723,119.723953,4.908233,484.966125,83.827904,3.047794,575.825134,215.315399,2.888931,558.321228,135.841248,4.019255,543.140625,84.376678,1.803108,529.520264,45.86491,-0.066168,620.528503,214.367111,-0.937876,611.927246,139.568497,-1.178211,601.489441,88.957283,-2.849746,590.244446,50.639698,-4.185974,665.668518,228.079391,-5.765051,674.489441,169.366257,-7.08396,678.781921,129.319336,-8.267155,679.862244,91.110817,-8.899366,0.93
27,'2021/06/23 12:55:32:775',1,619.801636,400.939819,-0.000536,539.535889,380.274231,-2.770311,481.031006,332.032227,-3.269184,438.504578,286.728729,-5.109114,402.639465,253.239182,-7.420339,535.138672,224.982239,6.672861,513.840698,156.680359,7.756583,498.227905,112.88076,7.102638,483.597626,77.848923,5.431494,581.158325,209.025269,3.813877,566.064392,127.980438,5.452044,551.095581,76.031326,3.610014,536.915649,38.572247,2.004671,625.634155,209.863525,-0.628455,621.163391,134.685394,-0.740693,612.023132,82.856491,-2.369137,601.465698,44.916889,-3.619641,669.145752,225.472687,-6.024407,682.496826,167.809036,-7.464316,689.534973,127.016266,-8.679533,693.253784,88.923065,-9.341678,1
28,'2021/06/23 12:55:32:783',1,620.535217,400.592773,-0.00047,543.688354,383.060699,-3.75339,483.662048,335.69046,-5.159924,438.488129,290.942291,-7.722216,399.63205,259.392426,-10.828677,533.768494,223.830002,4.464643,514.589233,156.790375,4.92854,501.486145,112.366791,3.962225,489.161652,76.091438,2.085984,580.168335,207.647644,1.967047,566.023193,128.762283,2.850119,553.481812,76.131088,0.664741,541.656433,38.431557,-1.230126,625.38208,209.595505,-2.064738,621.838623,136.470474,-3.041647,615.806519,85.010521,-5.186165,608.336121,47.537365,-6.704629,669.844543,227.540176,-7.032464,683.986145,171.989532,-9.175143,692.762695,131.895218,-10.84423,698.334534,94.364494,-11.79582,1
29,'2021/06/23 12:55:33:307',1,620.685669,400.151062,-0.000454,544.609924,382.99231,-4.0823,484.623138,335.966644,-5.671602,438.958344,291.818085,-8.350778,398.99765,261.028809,-11.572682,533.753601,223.373764,3.955153,514.514221,156.05249,4.334143,501.270782,111.532967,3.322289,488.909821,75.175018,1.413575,579.923523,207.28064,1.596585,565.881348,128.177887,2.451389,553.281494,75.588905,0.290387,541.591125,37.75687,-1.572871,624.91571,209.394608,-2.313919,621.431702,136.218338,-3.265905,615.510315,84.650375,-5.316681,608.39325,46.839878,-6.762691,669.207642,227.519897,-7.190574,683.654724,172.244766,-9.314755,692.907227,132.174942,-10.921646,699.195496,94.241211,-11.822275,1
30,'2021/06/23 12:55:33:310',1,621.111023,396.034454,-0.000387,544.014404,381.638947,-3.938702,480.572479,339.694305,-5.063259,428.013184,303.253876,-7.290905,382.344116,282.966431,-10.115788,534.547363,219.915024,6.933205,514.564636,152.129303,8.826342,501.217712,108.396255,8.830799,489.706665,73.778015,7.716817,582.468628,203.881073,5.39125,571.46167,123.609589,8.350644,562.213989,71.724388,7.486745,553.612183,35.534908,6.517268,628.156128,207.828781,2.178335,628.820496,135.403564,3.094908,628.236816,86.726669,2.173019,625.89679,51.935562,1.613407,671.983765,229.07225,-2.065605,690.805298,176.241211,-2.692246,705.074219,139.790955,-3.305521,716.306885,104.94603,-3.318867,1
