@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute light-1 numeric
@attribute outputs-1 numeric

@data
337,'2021/06/23 13:15:39:937',2,21.707325,0
338,'2021/06/23 13:15:39:986',2,21.565861,0
339,'2021/06/23 13:15:40:058',2,21.452688,0
340,'2021/06/23 13:15:40:106',2,21.36215,0
341,'2021/06/23 13:15:40:169',2,21.289721,0
342,'2021/06/23 13:15:40:226',2,21.231777,0
343,'2021/06/23 13:15:40:357',2,20.985422,0
344,'2021/06/23 13:15:40:357',2,20.788338,0
345,'2021/06/23 13:15:40:408',2,20.630671,0
346,'2021/06/23 13:15:40:468',2,20.504536,0
347,'2021/06/23 13:15:40:525',2,20.403629,0
348,'2021/06/23 13:15:40:588',2,20.322903,0
349,'2021/06/23 13:15:40:646',2,20.258322,0
350,'2021/06/23 13:15:40:706',2,20.206657,0
351,'2021/06/23 13:15:40:772',2,20.165325,0
352,'2021/06/23 13:15:40:825',2,20.132259,0
353,'2021/06/23 13:15:40:889',2,20.105808,0
354,'2021/06/23 13:15:40:945',2,20.084646,0
355,'2021/06/23 13:15:41:007',2,20.067717,0
356,'2021/06/23 13:15:41:079',2,20.054173,0
357,'2021/06/23 13:15:41:142',2,20.043339,0
358,'2021/06/23 13:15:41:185',2,20.034672,0
359,'2021/06/23 13:15:41:246',2,20.027737,0
360,'2021/06/23 13:15:41:310',2,20.02219,0
361,'2021/06/23 13:15:41:370',2,20.017752,0
362,'2021/06/23 13:15:41:439',2,20.014202,0
363,'2021/06/23 13:15:41:529',2,20.011362,0
364,'2021/06/23 13:15:41:576',2,20.00909,0
365,'2021/06/23 13:15:41:615',2,20.007273,0
366,'2021/06/23 13:15:41:665',2,20.005817,0
367,'2021/06/23 13:15:41:734',2,20.004654,0
368,'2021/06/23 13:15:41:805',2,20.003723,0
369,'2021/06/23 13:15:41:845',2,20.002979,0
370,'2021/06/23 13:15:41:906',2,20.002384,0
371,'2021/06/23 13:15:41:965',2,20.001907,0
372,'2021/06/23 13:15:42:025',2,20.001526,0
